prijs;discipline;jaar;laureaat;motivering
Nobelprijs;geneeskunde;1946;Hermann Joseph Muller (VS) ;voor de ontdekking dat mutaties kunnen worden veroorzaakt door röntgenstraling
Nobelprijs;literatuur;1946;Hermann Hesse (Dui);for his inspired writings which, while growing in boldness and penetration, exemplify the classical humanitarian ideals and high qualities of style
Nobelprijs;natuurkunde;1946;Percy Williams Bridgman (USA) ;voor zijn uitvinding van een apparaat om extreem hoge drukken op te wekken en de ontdekkingen die hiermee in de hoge druk fysica zijn gedaan
Nobelprijs;scheikunde;1946;James Batcheller Sumner (VS);voor zijn ontdekking dat enzymen kunnen kristalliseren
Nobelprijs;scheikunde;1946;John Howard Northrop (VS), Wendell Meredith Stanley (VS) ;voor hun bereiding van enzymen en viruseiwitten in een zuivere vorm
Nobelprijs;vrede;1946;Emily Greene Balch (VS);internationaal erevoorzitter van de Internationale Vrouwenbeweging voor Vrede en Vrijheid
Nobelprijs;vrede;1946;John Raleigh Mott (VS);voorzitter van de Internationale Zendingsraad en voorzitter van de World Alliance of Young Men's Christian Associations (YMCA)
Nobelprijs;geneeskunde;1947;Bernardo Alberto Houssay (VS) ;voor zijn ontdekking van de rol die de hormonen van de hypofyse-voorkwab spelen in de stofwisseling van glucose
Nobelprijs;geneeskunde;1947;Carl Ferdinand Cori (VS), Gerty Theresa Cori (VS) ;voor de ontdekking hoe glycogeen wordt omgezet in glucose in het lichaam]
Nobelprijs;literatuur;1947;André Gide (Fra);for his comprehensive and artistically significant writings, in which human problems and conditions have been presented with a fearless love of truth and keen psychological insight
Nobelprijs;natuurkunde;1947;Sir Edward Victor Appleton (GB) ;voor zijn onderzoek op het gebied van de fysica van de hogere aardatomosfeer, en met name voor zijn ontdekking van de zogenaamde Appleton-laag
Nobelprijs;scheikunde;1947;Sir Robert Robinson (GB) ;voor zijn onderzoek naar producten van planten, in het bijzonder de alkalo‹den
Nobelprijs;vrede;1947;The Friends Service Council (GB), The American Friends Service Committee (VS);namens de Religious Society of Friends, beter bekend als de Quakers
Nobelprijs;geneeskunde;1948;Paul Hermann Müller (Zwi) ;voor de ontdekking van het insecticide DDT
Nobelprijs;literatuur;1948;Thomas Stearns Eliot (VS/GB);for his outstanding, pioneer contribution to present-day poetry
Nobelprijs;natuurkunde;1948;Patrick Maynard Stuart Blackett (GB) ;voor zijn ontwikkeling van de Wilson-nevelkamermethode en zijn ontdekkingen op het gebied van de kernfysica en de kosmische straling
Nobelprijs;scheikunde;1948;Arne Wilhelm Kaurin Tiselius (Zwe) ;voor zijn onderzoek op het gebied van de elektroforese en de adsorptie analyse
Nobelprijs;geneeskunde;1949;Walter Rudolf Hess (Zwi), Antonio Caetano De Abreu Freire Egas Moniz (Por) ;"hess voor het in kaart brengen van de verschillende functies van middenhersenen; Moniz voor de ontdekking van het therapeutische effect van lobotomie"
Nobelprijs;literatuur;1949;William Faulkner (VS);for his powerful and artistically unique contribution to the modern American novel
Nobelprijs;natuurkunde;1949;Hideki Yukawa (Jap) ;voor zijn voorspelling van het bestaan van mesonen op grond van theoretisch werk over atoomkrachten
Nobelprijs;scheikunde;1949;William Francis Giauque (VS) ;voor zijn bijdragen op het gebied van de chemische thermodynamica
Nobelprijs;vrede;1949;Lord John Boyd Orr of Brechin (GB);directeur van de Voedsel- en Landbouworganisatie, voorzitter van het Nationaal Vredesberaad, voorzitter van de World Union of Peace Organizations (wereldbond voor vredesorganisaties)
Nobelprijs;geneeskunde;1950;Edward Calvin Kendall (VS), Tadeus Reichstein (Zwi), Philip Showalter Hench (VS) ;voor de ontdekking van de hormonen van de bijnierschors, hun structuur en functie
Nobelprijs;literatuur;1950;Bertrand Russell (GB);in recognition of his varied and significant writings in which he champions humanitarian ideals and freedom of thought
Nobelprijs;natuurkunde;1950;Cecil Powell (GB) ;voor zijn ontwikkeling van de fotografische methode op kernprocessen te bestuderen, en zijn ontdekkingen over mesonen met deze methode
Nobelprijs;scheikunde;1950;Otto Paul Hermann Diels (Dui), Kurt Alder (Dui) ;voor hun ontdekking en ontwikkeling van de diëensynthese. Diels-Alder reactie
Nobelprijs;vrede;1950;Ralph Bunche (VS);voor bemiddeling in Palestina (1948)
Nobelprijs;geneeskunde;1951;Max Theiler (VS) ;voor het ontwikkelen van een vaccin tegen gele koorts
Nobelprijs;literatuur;1951;Pär Fabian Lagerkvist (Zwe);for the artistic vigour and true independence of mind with which he endeavours in his poetry to find answers to the eternal questions confronting mankind
Nobelprijs;natuurkunde;1951;Sir John Douglas Cockcroft (GB), Ernest Thomas Sinton Walton (Ier) ;voor hun pioniersverrichtingen op het gebied van transmutatie van atoomkernen door kunstmatig versnelde atoomdeeltjes
Nobelprijs;scheikunde;1951;Edwin Mattison McMillan (VS), Glenn Theodore Seaborg (VS) ;voor hun ontdekkingen in de chemie van de transuraan elementen
Nobelprijs;vrede;1951;Léon Jouhaux (Fra);voorzitter van het Internationale Comité van de Europese Raad, voorzitter van het Internationaal Verbond van vrije Vakverenigingen, lid van de ILO Raad, VN afgevaardigde
Nobelprijs;geneeskunde;1952;Selman Abraham Waksman (VS) ;voor zijn ontdekking van streptomycine, het eerste effectieve antibioticum tegen tuberculose
Nobelprijs;literatuur;1952;François Mauriac (Fra);for the deep spiritual insight and the artistic intensity with which he has in his novels penetrated the drama of human life
Nobelprijs;natuurkunde;1952;Felix Bloch (VS), Edward Mills Purcell (VS) ;voor hun ontwikkeling van nieuwe methodes voor precisiemeting van kernmagnetisme en daarmee samenhangende ontdekkingen
Nobelprijs;scheikunde;1952;Archer John Porter Martin (GB), Richard Laurence Millington Synge (GB) ;voor hun uitvinding van partitiechromatografie
Nobelprijs;vrede;1952;Albert Schweitzer (Fra/Dui);voor het stichten van het Lambarene Ziekenhuis in Gabon
Nobelprijs;geneeskunde;1953;Fritz Albert Lipmann (VS) ;voor de ontdekking van en het onderzoek naar coënzym A
Nobelprijs;geneeskunde;1953;Hans Adolf Krebs (GB) ;voor de ontdekking van de citroenzuurcyclus bij de celademhaling
Nobelprijs;literatuur;1953;Sir Winston Churchill (GB);for his mastery of historical and biographical description as well as for brilliant oratory in defending exalted human values
Nobelprijs;natuurkunde;1953;Frits Zernike (Ned) ;voor zijn demonstratie van de fasecontrastmethode, en met name voor zijn uitvindng van de fasecontrastmicroscoop
Nobelprijs;scheikunde;1953;Hermann Staudinger (Dui) ;voor zijn ontdekkingen op het gebied van de macromoleculaire chemie
Nobelprijs;vrede;1953;George C. Marshall (VS);voor het Marshallplan
Nobelprijs;geneeskunde;1954;John Franklin Enders (VS), Thomas Huckle Weller (VS), Frederick Chapman Robbins (VS) ;voor het ontdekken van een wijze om poliomyelitis virussen te kweken in een reageerbuis
Nobelprijs;literatuur;1954;Ernest Hemingway (VS);for his mastery of the art of narrative, most recently demonstrated in The Old Man and the Sea, and for the influence that he has exerted on contemporary style
Nobelprijs;natuurkunde;1954;Max Born (GB);voor zijn fundamentele onderzoek naar de kwantummechanica, en vooral voor zijn statistische interpretatie van de golffunctie
Nobelprijs;natuurkunde;1954;Walther Bothe (Dui) ;voor de co‹ncidentiemethode en de daarmee gedane ontdekkingen
Nobelprijs;scheikunde;1954;Linus Carl Pauling (VS) ;voor zijn onderzoek naar de aard van de chemische binding
Nobelprijs;vrede;1954;Het Bureau van de Hoge Commissaris voor de Vluchtelingen in Genève (VN);
Nobelprijs;geneeskunde;1955;Axel Hugo Theodor Theorell (Zwe) ;voor onderzoek naar enzymen en hun activiteiten, in het bijzonder oxiderende enzymen
Nobelprijs;literatuur;1955;Halld¢r Kiljan Laxness (IJs);for his vivid epic power which has renewed the great narrative art of Iceland
Nobelprijs;natuurkunde;1955;Willis Lamb (VS);voor zijn ontdekkingen op het gebied van de fijnstructuur van het waterstofspectrum
Nobelprijs;natuurkunde;1955;Polykarp Kusch (VS) ;voor zijn nauwkeurige bepaling van het magnetisch moment van het elektron
Nobelprijs;scheikunde;1955;Vincent du Vigneaud (VS) ;voor zijn verrichtingen op het gebied van de zwavelverbindigen, in het bijzonder de eerste synthese van een polypeptide hormoon
Nobelprijs;geneeskunde;1956;André Frédéric Cournand (VS), Werner Forssmann (Den), Dickinson W. Richards (VS) ;voor het aantonen hoe een katheter kan worden ingebracht in het hart, en het bestuderen van meerdere hartaandoeningen
Nobelprijs;literatuur;1956;Juan Ram¢n Jiménez (Spa);for his lyrical poetry, which in Spanish language constitutes an example of high spirit and artistical purity
Nobelprijs;natuurkunde;1956;William Bradford Shockley (VS), John Bardeen (VS), Walter Houser Brattain (VS) ;voor hun onderzoek naar halfgeleiders en hun ontdekking van het transistoreffect
Nobelprijs;scheikunde;1956;Sir Cyril Norman Hinshelwood (GB), Nikolay Nikolaevich Semenov (Rus) ;voor hun onderzoek naar het mechanisme van chemische reacties
Nobelprijs;geneeskunde;1957;Daniel Bovet (Zwi) ;voor het ontdekken van synthetische medicijnen als antihistaminen die de activiteiten van biologische amines blokkeren
Nobelprijs;literatuur;1957;Albert Camus (Fra);for his important literary production, which with clear-sighted earnestness illuminates the problems of the human conscience in our times
Nobelprijs;natuurkunde;1957;Chen Ning Yang (Chn), Tsung-Dao Lee (Chn) ;voor hun diepgaand onderzoek naar de zogenaamde pariteitswet dat heeft geleid tot belangrijke ontdekkingen over de elementaire deeltjes
Nobelprijs;scheikunde;1957;Sir Alexander Robert Todd (GB) ;voor zijn verrichtingen op het gebied van nucleotides en hun co-enzymen
Nobelprijs;vrede;1957;Lester Bowles Pearson (Can);voor het sussen van de Suezcrisis met VN-troepen
Nobelprijs;geneeskunde;1958;George Wells Beadle (VS), Edward Lawrie Tatum (VS), Joshua Lederberg (VS) ;voor het aantonen dat genen individuele stappen in het metabolisme reguleren
Nobelprijs;literatuur;1958;Boris Leonidovitsj Pasternak (Rus);for his important achievement both in contemporary lyrical poetry and in the field of the great Russian epic tradition
Nobelprijs;natuurkunde;1958;Pavel Tsjerenkov (Rus), Il'ja Mikhailovich Frank (Rus), Igor Yergenyevich Tamm (Rus) ;voor hun ontdekking en interpretatie van het Tsjerenkov-effect
Nobelprijs;scheikunde;1958;Frederick Sanger (GB) ;voor zijn verrichtingen op het gebied van de structuur van eiwitten, in het bijzonder insuline
Nobelprijs;vrede;1958;Georges Pire (Bel);leider van Hulp voor Displaced Persons en Europadorpen, een hulporganisatie voor vluchtelingen
Nobelprijs;geneeskunde;1959;Severo Ochoa (VS), Arthur Kornberg (VS) ;voor de synthese van de nucle‹nezuren DNA en RNA
Nobelprijs;literatuur;1959;Salvatore Quasimodo (Ita);for his lyrical poetry, which with classical fire expresses the tragic experience of life in our own times
Nobelprijs;natuurkunde;1959;Emilio Gino Segrè (VS), Owen Chamberlain (VS) ;voor hun ontdekking van het antiproton
Nobelprijs;scheikunde;1959;Jaroslav Heyrovskì (Tsj) ;voor zijn ontdekking en ontwikkeling van de polarografische analysemethodes
Nobelprijs;vrede;1959;Philip J. Noel-Baker (GB);voor zijn levenslange ijver voor internationale vrede en samenwerking
Nobelprijs;geneeskunde;1960;Frank MacFarlane Burnet (Aus), Peter Brian Medawar (GB) ;voor de ontdekking dat het immuunsysteem van de foetus leert hoe het onderscheid kan maken tussen lichaamseigen en lichaamsvreemd
Nobelprijs;literatuur;1960;Saint-John Perse (Fra);for the soaring flight and the evocative imagery of his poetry which in a visionary fashion reflects the conditions of our time
Nobelprijs;natuurkunde;1960;Donald Arthur Glaser (VS) ;voor zijn uitvinding van het bellenvat
Nobelprijs;scheikunde;1960;Willard Frank Libby (VS) ;voor zijn methode om koolstof-14 te gebruiken voor ouderdomsbepaling
Nobelprijs;vrede;1960;Albert John Lutuli (Z-Afr);voorzitter van het Afrikaans Nationaal Congres (African National Congress)
Nobelprijs;geneeskunde;1961;Georg von Békésy (Hon) ;voor het ophelderen van het slakkenhuis in het oor
Nobelprijs;literatuur;1961;Ivo Andric (Joe);for the epic force with which he has traced themes and depicted human destinies drawn from the history of his country
Nobelprijs;natuurkunde;1961;Robert Hofstadter (VS);voor zijn baanbrekend onderzoek naar elektronendiffractie door atoomkernen en voor de daardoor bereikte ontdekkingen over de structuur van de nucleonen
Nobelprijs;natuurkunde;1961;Rudolf Ludwig Mössbauer (Dui) ;voor zijn onderzoek naar resonantie-absorptie van gammastraling en zijn ontdekking in dit verband van het naar hem genoemde Mössbauer-effect
Nobelprijs;scheikunde;1961;Melvin Calvin (VS) ;voor zijn onderzoek naar de assimilatie van koolstofdioxide in planten
Nobelprijs;vrede;1961;Dag Hammarskjöld (Zwe);secretaris-Generaal van de Verenigde Naties (VN) (Postuum toegekend)
Nobelprijs;geneeskunde;1962;Francis Harry Compton Crick (GB), James Dewey Watson (VS), Maurice Hugh Frederick Wilkins (GB) ;voor hun ontdekkingen betreffende de moleculaire structuur van nucle‹nezuren en diens significantie voor de informatieoverdracht in het leven
Nobelprijs;literatuur;1962;John Steinbeck (VS);for his realistic and imaginative writings, combining as they do sympathetic humour and keen social perception
Nobelprijs;natuurkunde;1962;Lev Davidovitsj Landau (Rus) ;voor zijn baanbrekende theorieën over gecondenseerde materie, vooral vloeibare helium
Nobelprijs;scheikunde;1962;Max Ferdinand Perutz (GB), John Cowdery Kendrew (GB) ;voor hun studie naar de structuur van myoglobine
Nobelprijs;vrede;1962;Linus Carl Pauling (VS);voor zijn campagne tegen proeven met kernwapens
Nobelprijs;geneeskunde;1963;John Carew Eccles (Aus), Alan Lloyd Hodgkin (GB), Andrew Fielding Huxley (GB) ;voor het beschrijven van elektrische transmissie van impulsen langs zenuwen
Nobelprijs;literatuur;1963;Giorgos Seferis (Gri);for his eminent lyrical writing, inspired by a deep feeling for the Hellenic world of culture
Nobelprijs;natuurkunde;1963;Eugene Paul Wigner (VS);voor zijn bijdragen aan de theorie van de atoomkernen en de elementaire deeltjes, vooral door de ontdekking en de toepassing van fundamentele symmetrieprincipes
Nobelprijs;natuurkunde;1963;Maria Goeppert-Mayer (VS), Johannes Hans Daniel Jensen (Dui) ;voor hun ontdekkingen betreffende de schilstructuur van de kern
Nobelprijs;scheikunde;1963;Karl Ziegler (Dui), Giulio Natta (Ita) ;voor hun ontdekkingen op het gebied van de hoge polymeren
Nobelprijs;vrede;1963;Internationaal Comité van het Rode Kruis te Genève (Zwi), Rode Kruis Liga te Genève (Zwi);
Nobelprijs;geneeskunde;1964;Konrad Bloch (VS), Feodor Lynen (Dui) ;voor onderzoek naar cholesterol en de stofwisseling van vetzuren
Nobelprijs;literatuur;1964;Jean-Paul Sartre (Fra);for his work which, rich in ideas and filled with the spirit of freedom and the quest for truth, has exerted a far-reaching influence on our age
Nobelprijs;natuurkunde;1964;Charles Hard Townes (VS), Nicolay Gennadiyevich Basov (Rus), Aleksandr Mikhailovich Prokhorov (Rus) ;voor hun fundamentele verrichtingen op het gebied van de kwantumelektronica, dat heeft geleid tot de constructie van oscillators en versterkers gebaseerd op het maser-laser principe
Nobelprijs;scheikunde;1964;Dorothy Crowfoot Hodgkin (GB) ;voor haar bepaling van de structuur van belangrijk biochemische stoffen met behulp van röntgentechnieken
Nobelprijs;vrede;1964;Martin Luther King Jr (VS);campagnevoerder voor burgerrechten
Nobelprijs;geneeskunde;1965;François Jacob (Fra), André Lwoff (Fra), Jacques Monod (Fra) ;voor het ontdekken van mRNA, ribosomen en de genen die de expressie van andere genen reguleren
Nobelprijs;literatuur;1965;Michail Sjolochow (Rus);for the artistic power and integrity with which, in his epic of the Don, he has given expression to a historic phase in the life of the Russian people
Nobelprijs;natuurkunde;1965;Sin-Itiro Tomonaga (Jap), Julian Schwinger (VS), Richard Phillips Feynman (VS) ;voor hun fundamentele verrichtingen op het gebied van de kwantumelektrodynamica, met diepgravende consequenties voor de fysica van elementaire deeltjes
Nobelprijs;scheikunde;1965;Robert Burns Woodward (VS) ;voor zijn verdiensten op het gebied van de organische syntheses
Nobelprijs;vrede;1965;UNICEF kinderfonds van de VN (VN);
Nobelprijs;geneeskunde;1966;Charles Brenton Huggins (VS) ;voor de ontdekking van de behandeling van prostaatkanker met hormonen
Nobelprijs;geneeskunde;1966;Peyton Rous (VS) ;voor de ontdekking van virussen die tumoren veroorzaken
Turing Award;informatica;1966;Alan J. Perlis (VS) ;for his influence in the area of advanced programming techniques and compiler construction
Nobelprijs;literatuur;1966;Nelly Sachs (Dui);for her outstanding lyrical and dramatic writing, which interprets Israel's destiny with touching strength
Nobelprijs;literatuur;1966;Shmuel Yosef Agnon (Isr);for his profoundly characteristic narrative art with motifs from the life of the Jewish people
Nobelprijs;natuurkunde;1966;Alfred Kastler (Fra) ;voor zijn ontdekking en ontwikkeling van optische methoden voor het bestuderen van Hertziaanse resonanties in atomen
Nobelprijs;scheikunde;1966;Robert Sanderson Mulliken (VS) ;voor zijn verdiensten op het gebied van de chemische binding en de elektronische structuur van moleculen
Nobelprijs;geneeskunde;1967;Ragnar Granit (Zwe), Haldan Keffer Hartline (VS), George Wald (VS) ;voor het beschrijven van de verschillende typen van lichtgevoelige cellen in het oog, en hoe het licht op die cellen inwerkt
Turing Award;informatica;1967;Maurice V. Wilkes (GB) ;"professor Wilkes is best known as the builder and designer of the EDSAC, the first computer with an internally stored program. Built in 1949, the EDSAC used a mercury delay line memory. He is also known as the author, with Wheeler and Gill, of a volume on ""Preparation of Programs for Electronic Digital Computers"" in 1951, in which program libraries were effectively introduced"
Nobelprijs;literatuur;1967;Miguel µngel Asturias (Gua);for his vivid literary achievement, deep-rooted in the national traits and traditions of Indian peoples of Latin America
Nobelprijs;natuurkunde;1967;Hans Albrecht Bethe (VS) ;voor zijn bijdragen aan de theorie van de kernreacties, met name zijn ontdekkingen betreffende de energieproductie in sterren
Nobelprijs;scheikunde;1967;Manfred Eigen (Dui), Ronald George Wreyford Norrish (GB), George Porter (GB) ;voor hun studies naar zeer snelle reacties
Nobelprijs;geneeskunde;1968;Robert W. Holley (VS), Har Gobind Khorana (VS), Marshall W. Nirenberg (VS) ;voor het beschrijven van de genetische code en hoe het een rol speelt in de eiwitsynthese
Turing Award;informatica;1968;Richard Hamming (VS) ;for his work on numerical methods, automatic coding systems, and error-detecting and error-correcting codes
Nobelprijs;literatuur;1968;Yasunari Kawabata (Jap);for his narrative mastery, which with great sensibility expresses the essence of the Japanese mind
Nobelprijs;natuurkunde;1968;Luis Walter Alvarez (VS) ;voor zijn essentiële bijdragen aan de elementaire deeltjes-fysica, met name de ontdekking van een groot aantal resonantietoestanden, die mogelijk zijn geworden door zijn ontwikkeling van de techniek met een waterstofbellenvat en het gebruik van data-analyse
Nobelprijs;scheikunde;1968;Lars Onsager (VS) ;voor de ontdekking van de naar hem genoemde reciproce relatie
Nobelprijs;vrede;1968;René Cassin (Fra);voorzitter van de Europese Raad voor de Rechten van de Mens, medeoprichter van de UNESCO, voorzitter van de VN-commissie voor de Rechten van de Mens
Nobelprijs;economie;1969;Ragnar Frisch (Noo), Jan Tinbergen (Ned);for having developed and applied dynamic models for the analysis of economic processes
Nobelprijs;geneeskunde;1969;Max Delbrück (VS), Alfred Hershey (VS), Salvador E. Luria (VS) ;voor onderzoek aan replicatiemechanismen en genetica van virussen
Turing Award;informatica;1969;Marvin Minsky (VS) ;artificial intelligence
Nobelprijs;literatuur;1969;Samuel Beckett (Ier);for his writing, which - in new forms for the novel and drama - in the destitution of modern man acquires its elevation
Nobelprijs;natuurkunde;1969;Murray Gell-Mann (VS) ;voor zijn bijdragen en ontdekkingen over de indeling van elementaire deeltjes en hun interacties
Nobelprijs;scheikunde;1969;Derek Harold Richard Barton (GB), Odd Hassel (Noo) ;voor hun bijdragen aan de ontwikkeling van het begrip conformatie
Nobelprijs;vrede;1969;Internationale Arbeidsorganisatie (VN).;
Nobelprijs;economie;1970;Paul Samuelson (VS);for the scientific work through which he has developed static and dynamic economic theory and actively contributed to raising the level of analysis in economic science
Nobelprijs;geneeskunde;1970;Bernard Katz (GB), Ulf von Euler (Zwe), Julius Axelrod (VS) ;voor onderzoek aan neurotransmitters
Turing Award;informatica;1970;James H. Wilkinson (GB) ;"for his research in numerical analysis to facilitate the use of the high-speed digital computer, having received special recognition for his work in computations in linear algebra and ""backward"" error analysis"
Nobelprijs;literatuur;1970;Aleksandr Solzjenitsyn (Rus);for the ethical force with which he has pursued the indispensable traditions of Russian literature
Nobelprijs;natuurkunde;1970;Hannes Olof Gösta Alfvén (Zwe);voor zijn fundamentele verrichtingen en ontdekkingen op het gebied van de magnetohydrodynamica met vruchtbare toepassingen op verschillende terreinen van de plasmafysica
Nobelprijs;natuurkunde;1970;Louis Eugène Félix Néel (Fra) ;voor zijn fundamentele verrichtingen en ontdekkingen betreffende antiferromagnetisme en ferrimagnetisme, die hebben geleid tot belangrijke toepassingen in de vastestoffysica (Néel)
Nobelprijs;scheikunde;1970;Luis Federico Leloir (Arg) ;voor zijn ontdekking van suikernucleotiden en hun rol in de biosynthese van koolhydraten
Nobelprijs;vrede;1970;Norman Borlaug (VS);voor het ontwikkelen van tarwegewassen met beter opbrengsten, aan het International Maize and Wheat Improvement Center
Nobelprijs;economie;1971;Simon Kuznets (VS);for his empirically founded interpretation of economic growth which has led to new and deepened insight into the economic and social structure and process of development
Nobelprijs;geneeskunde;1971;Earl Wilbur Sutherland jr. (VS) ;voor de ontdekking van de activiteit van hormonen, in het bijzonder adrenaline, via second messengers
Turing Award;informatica;1971;John McCarthy (VS) ;"dr. McCarthy's lecture ""The Present State of Research on Artificial Intelligence"" is a topic that covers the area in which he has achieved considerable recognition for his work"
Nobelprijs;literatuur;1971;Pablo Neruda (Chi);for a poetry that with the action of an elemental force brings alive a continent's destiny and dreams
Nobelprijs;natuurkunde;1971;Dennis Gabor (GB) ;voor zijn uitvinding en ontwikkeling van de holografische methode
Nobelprijs;scheikunde;1971;Gerhard Herzberg (Can) ;voor zijn bijdragen aan de elektronenstructuur en de geometrie van moleculen, in het bijzonder vrije radicalen
Nobelprijs;vrede;1971;Willy Brandt (Dui);voor de door hem ontwikkelde Ostpolitik, wat een andere houding inhield ten opzichte van Oost-Europa en Oost-Duitsland
Nobelprijs;economie;1972;John Hicks (GB), Kenneth Arrow (VS);for their pioneering contributions to general economic equilibrium theory and welfare theory
Nobelprijs;geneeskunde;1972;Gerald M. Edelman (VS), Rodney R. Porter (GB) ;voor de ontdekking van de chemische structuur van antilichamen
Turing Award;informatica;1972;Edsger W. Dijkstra (Ned) ;edsger Dijkstra was a principal contributor in the late 1950's to the development of the ALGOL, a high level programming language which has become a model of clarity and mathematical rigor. He is one of the principal proponents of the science and art of programming languages in general, and has greatly contributed to our understanding of their structure, representation, and implementation. His fifteen years of publications extend from theoretical articles on graph theory to basic manuals, expository texts, and philosophical contemplations in the field of programming languages
Nobelprijs;literatuur;1972;Heinrich Böll (Dui);for his writing which through its combination of a broad perspective on his time and a sensitive skill in characterization has contributed to a renewal of German literature
Nobelprijs;natuurkunde;1972;John Bardeen (VS), Leon Neil Cooper (VS), John Robert Schrieffer (VS) ;voor hun gezamenlijk ontwikkelde theorie van de supergeleiding, gewoonlijk BCS-theorie genoemd
Nobelprijs;scheikunde;1972;Christian Boehmer Anfinsen (VS);voor zijn verdiensten op het gebied van de ribonuclease
Nobelprijs;scheikunde;1972;Stanford Moore (VS), William Howard Stein (VS) ;voor hun bijdragen aan het begrip van de link tussen de chemische structuur en de katalytische activiteit van het ribonucleasemolecuul
Nobelprijs;economie;1973;Wassily Leontief (VS);for the development of the input-output method and for its application to important economic problems
Nobelprijs;geneeskunde;1973;Karl von Frisch (Oos), Konrad Lorenz (Oos), Nikolaas Tinbergen (Ned) ;voor het onderzoek naar het gedrag van sociale dieren, in het bijzonder de verklaring van de danstaal van bijen en hoe jonge vogels gefixeerd raken op hun moeder
Turing Award;informatica;1973;Charles W. Bachman (VS) ;for his outstanding contributions to database technology
Nobelprijs;literatuur;1973;Patrick White (Aus);for an epic and psychological narrative art which has introduced a new continent into literature
Nobelprijs;natuurkunde;1973;Brian David Josephson (GB) ;voor zijn theoretische voorspellingen van de eigenschappen van een supergeleidende stroom door een tunnelbarrière, met name die fenomenen die algemeen bekendstaan als de Josephson-effecten
Nobelprijs;natuurkunde;1973;Leo Esaki (Jap), Ivar Giaever (Noo);voor hun experimentele ontdekkingen over tunneleffecten in halfgeleiders en supergeleiders
Nobelprijs;scheikunde;1973;Ernst Otto Fischer (Dui), Geoffrey Wilkinson (GB) ;voor hun verdiensten op het gebied van de chemie van de organometallische verbindigen
Nobelprijs;vrede;1973;Eisaku Sato (Jap), Henry A. Kissinger (VS), Le Duc Tho (N-Vie);voor het Vietnam vredesakkoord (Vredesakkoord van Parijs)
Nobelprijs;economie;1974;Gunnar Myrdal (Zwe), Friedrich Hayek (Oos);for their pioneering work in the theory of money and economic fluctuations and for their penetrating analysis of the interdependence of economic, social and institutional phenomena
Nobelprijs;geneeskunde;1974;Albert Claude (Bel), Christian de Duve (Bel), George E. Palade (Roe) ;voor het beschrijven van de structuur en functie van organellen in biologische cellen
Turing Award;informatica;1974;Donald E. Knuth (VS) ;"for his major contributions to the analysis of algorithms and the design of programming languages, and in particular for his contributions to ""The Art of Computer Programming"" through his well-known books in a continuous series by this title"
Nobelprijs;literatuur;1974;Eyvind Johnson (Zwe);for a narrative art, farseeing in lands and ages, in the service of freedom
Nobelprijs;literatuur;1974;Harry Martinson (Zwe);for writings that catch the dewdrop and reflect the cosmos
Nobelprijs;natuurkunde;1974;Sir Martin Ryle (GB);voor zijn pioniersonderzoek in de radio-astrofysica en zijn observaties en uitvindingen, met name de apertuursynthesetechniek
Nobelprijs;natuurkunde;1974;Anthony Hewish (GB) ;voor zijn pioniersonderzoek in de radio-astrofysica en zijn beslissende bijdrage bij de ontdekking van pulsars
Nobelprijs;scheikunde;1974;Paul John Flory (VS) ;voor zijn fundamentele verrichtingen, zowel theoretisch als experimenteel, op het gebied van de fysische chemie van macromoleculen
Nobelprijs;vrede;1974;Séan Mac Bride (Ier);voorzitter van Amnesty International, secretaris-generaal van de Internationale Commissie van Juristen te Genève, en voorzitter van de NamibiëCommissie van de Verenigde Naties
Nobelprijs;economie;1975;Leonid Kantorovich (Rus), Tjalling Koopmans (VS);for their contributions to the theory of optimum allocation of resources
Nobelprijs;geneeskunde;1975;David Baltimore (VS), Renato Dulbecco (VS), Howard Martin Temin (VS) ;voor het beschrijven hoe tumorvirussen inwerken op het genetische materiaal van de cel
Turing Award;informatica;1975;Allen Newell (VS), Herbert A. Simon (VS) ;in joint scientific efforts extending over twenty years, initially in collaboration with J. C. Shaw at the RAND Corporation, and subsequentially with numerous faculty and student colleagues at Carnegie Mellon University, they have made basic contributions to artificial intelligence, the psychology of human cognition, and list processing
Nobelprijs;literatuur;1975;Eugenio Montale (Ita);for his distinctive poetry which, with great artistic sensitivity, has interpreted human values under the sign of an outlook on life with no illusions
Nobelprijs;natuurkunde;1975;Aage Niels Bohr (Den), Ben Roy Mottelson (Den), Leo James Rainwater (VS) ;voor de ontdekking van het verband tussen collectieve beweging en deeltjesbeweging in atoomkernen, en de ontwikkeling van de theorie van de structuur van de atoomkern gebaseerd op dit verband
Nobelprijs;scheikunde;1975;John Warcup Cornforth (GB/Aus);voor zijn verrichtingen op het gebied ven de stereochemie van enzymgekatalyseerde reacties
Nobelprijs;scheikunde;1975;Vladimir Prelog (Zwi) ;voor zijn onderzoek naar de stereochemie van organische moleculen en reacties
Nobelprijs;vrede;1975;Andrei Sacharov (Rus);voor zijn campagnes voor de mensenrechten
Nobelprijs;economie;1976;Milton Friedman (VS);for his achievements in the fields of consumption analysis, monetary history and theory and for his demonstration of the complexity of stabilisation policy
Nobelprijs;geneeskunde;1976;Baruch S. Blumberg (VS) ;voor de ontdekking van het hepatitis B-virus
Nobelprijs;geneeskunde;1976;D. Carleton Gajdusek (VS) ;voor de beschrijving van de ziekte kuru, veroorzaakt door kannibalisme
